PurchaseID,CustomerID,ProductID,ProductDescription,ProductCategory,PurchaseAmount,PurchaseDate
PU01222,C113,P18,Tablet,Tech & Electronics,819.21,2024-04-20
PU01223,C128,P116,Card Game,Toys & Games,57.06,2024-08-02
PU01225,C435,P98,Children's Storybook,Books & Stationery,40.05,2024-12-04
PU01226,C175,P43,Wall Shelf,Home & Furniture,498.61,2024-12-30
PU01230,C289,P53,Food Processor,Kitchen & Appliances,195.48,2024-05-15
PU01232,C275,P09,Swimwear,Clothing & Apparel,20.89,2024-06-04
PU01233,C158,P78,Wallet,Accessories & Lifestyle,129.88,2024-05-27
PU01234,C197,P15,Summer Dress,Clothing & Apparel,28.38,2024-04-22
PU01237,C016,P102,Self-Help Book,Books & Stationery,13.68,2024-04-22
PU01238,C119,P61,Tennis Racket,Fitness & Sports,250.52,2024-10-22
PU01239,C138,P91,Novel,Books & Stationery,26.09,2024-01-06
PU01240,C315,P84,Watch,Accessories & Lifestyle,115.56,2024-08-08
PU01241,C062,P80,Leather Belt,Accessories & Lifestyle,121.39,2024-07-24
PU01243,C242,P38,Recliner Chair,Home & Furniture,63.17,2024-10-04
PU01244,C339,P88,Jewelry Box,Accessories & Lifestyle,111.18,2024-06-25
PU01245,C348,P90,Smart Key Finder,Accessories & Lifestyle,77.79,2024-08-16
PU01247,C017,P86,Phone Case,Accessories & Lifestyle,12.19,2024-03-21
PU01248,C094,P51,Toaster,Kitchen & Appliances,119.6,2024-06-14
PU01249,C216,P87,Umbrella,Accessories & Lifestyle,132.76,2024-12-11
PU01251,C039,P52,Espresso Machine,Kitchen & Appliances,58.88,2024-02-08
PU01253,C109,P96,Sketchpad,Books & Stationery,43.99,2024-04-27
PU01255,C438,P11,Athletic Socks,Clothing & Apparel,121.94,2024-02-24
PU01256,C286,P90,Smart Key Finder,Accessories & Lifestyle,72.08,2024-12-27
PU01257,C124,P90,Smart Key Finder,Accessories & Lifestyle,59.57,2024-10-23
PU01258,C198,P49,Electric Kettle,Kitchen & Appliances,97.85,2024-09-02
PU01259,C280,P28,Home Security Camera,Tech & Electronics,871.21,2024-04-18
PU01260,C088,P03,Jeans,Clothing & Apparel,95.78,2024-11-06
PU01261,C054,P39,Patio Set,Home & Furniture,138.78,2024-04-01
PU01262,C207,P103,Language Workbook,Books & Stationery,33.14,2024-04-25
PU01263,C120,P44,Bed Frame,Home & Furniture,379.24,2024-10-02
PU01264,C399,P100,Comic Book,Books & Stationery,26.88,2024-05-02
PU01265,C243,P03,Jeans,Clothing & Apparel,106.86,2024-10-06
PU01266,C047,P100,Comic Book,Books & Stationery,24.96,2024-10-30
PU01271,C092,P80,Leather Belt,Accessories & Lifestyle,78.42,2024-12-22
PU01273,C484,P32,Standing Desk,Home & Furniture,386.49,2024-01-12
PU01275,C243,P71,Pull-Up Bar,Fitness & Sports,101.18,2024-10-17
PU01276,C018,P116,Card Game,Toys & Games,85.93,2024-11-17
PU01277,C259,P19,Smartwatch,Tech & Electronics,293.62,2024-11-03
PU01278,C468,P19,Smartwatch,Tech & Electronics,246.13,2024-07-27
PU01279,C436,P104,Art Book,Books & Stationery,19.56,2024-08-24
PU01280,C305,P83,Luggage Set,Accessories & Lifestyle,89.78,2024-06-29
PU01282,C081,P104,Art Book,Books & Stationery,43.17,2024-05-30
PU01283,C491,P94,Travel Guide,Books & Stationery,99.84,2024-02-15
PU01284,C047,P44,Bed Frame,Home & Furniture,330.3,2024-11-06
PU01285,C147,P33,Bookshelf,Home & Furniture,428.06,2024-02-08
PU01286,C384,P103,Language Workbook,Books & Stationery,31.26,2024-02-20
PU01288,C112,P53,Food Processor,Kitchen & Appliances,108.69,2024-04-05
PU01289,C418,P50,Cookware Set,Kitchen & Appliances,193.21,2024-11-24
PU01290,C054,P71,Pull-Up Bar,Fitness & Sports,83.59,2024-10-19
PU01292,C159,P59,Dish Rack,Kitchen & Appliances,229.99,2024-06-25
PU01294,C342,P05,Casual Sneakers,Clothing & Apparel,19.29,2024-05-16
PU01296,C095,P32,Standing Desk,Home & Furniture,398.99,2024-07-15
PU01298,C417,P120,Toy Train Set,Toys & Games,38.13,2024-03-30
PU01299,C386,P103,Language Workbook,Books & Stationery,78.86,2024-05-29
PU01300,C213,P38,Recliner Chair,Home & Furniture,315.04,2024-08-07
PU01301,C133,P54,Rice Cooker,Kitchen & Appliances,254.47,2024-01-16
PU01304,C164,P82,Key Organizer,Accessories & Lifestyle,106.1,2024-07-02
PU01305,C401,P116,Card Game,Toys & Games,60.36,2024-05-27
PU01306,C200,P83,Luggage Set,Accessories & Lifestyle,261.36,2024-10-13
PU01307,C234,P54,Rice Cooker,Kitchen & Appliances,262.62,2024-07-03
PU01308,C169,P18,Tablet,Tech & Electronics,108.31,2024-04-01
PU01309,C460,P51,Toaster,Kitchen & Appliances,171.67,2024-01-08
PU01311,C275,P32,Standing Desk,Home & Furniture,122.01,2024-07-04
PU01312,C378,P114,Play Kitchen Set,Toys & Games,18.91,2024-04-14
PU01313,C428,P83,Luggage Set,Accessories & Lifestyle,39.08,2024-05-10
PU01314,C150,P35,Bedside Table,Home & Furniture,185.44,2024-06-14
PU01315,C185,P23,4K TV,Tech & Electronics,292.53,2024-11-04
PU01316,C329,P80,Leather Belt,Accessories & Lifestyle,126.36,2024-02-18
PU01317,C025,P54,Rice Cooker,Kitchen & Appliances,107.87,2024-01-24
PU01318,C147,P87,Umbrella,Accessories & Lifestyle,109.07,2024-02-02
PU01319,C388,P06,Running Shorts,Clothing & Apparel,113.16,2024-08-02
PU01320,C427,P66,Boxing Gloves,Fitness & Sports,267.0,2024-03-05
PU01321,C464,P84,Watch,Accessories & Lifestyle,117.3,2024-02-21
PU01322,C159,P11,Athletic Socks,Clothing & Apparel,107.07,2024-04-24
PU01324,C083,P28,Home Security Camera,Tech & Electronics,303.25,2024-02-06
PU01325,C353,P08,Polo Shirt,Clothing & Apparel,18.99,2024-12-02
PU01326,C158,P05,Casual Sneakers,Clothing & Apparel,93.57,2024-06-13
PU01327,C259,P119,Dollhouse,Toys & Games,84.22,2024-12-10
PU01328,C397,P90,Smart Key Finder,Accessories & Lifestyle,85.56,2024-10-11
PU01329,C474,P42,Storage Ottoman,Home & Furniture,858.02,2024-02-19
PU01330,C397,P48,Air Fryer,Kitchen & Appliances,112.9,2024-03-31
PU01331,C455,P14,Joggers,Clothing & Apparel,22.02,2024-06-23
PU01332,C208,P86,Phone Case,Accessories & Lifestyle,56.42,2024-06-18
PU01335,C260,P85,Scarf,Accessories & Lifestyle,109.24,2024-04-21
PU01336,C310,P39,Patio Set,Home & Furniture,306.56,2024-05-16
PU01337,C455,P42,Storage Ottoman,Home & Furniture,200.55,2024-05-15
PU01338,C197,P29,Portable Power Bank,Tech & Electronics,397.55,2024-03-26
PU01339,C089,P120,Toy Train Set,Toys & Games,7.26,2024-12-08
PU01341,C386,P93,Science Fiction Book,Books & Stationery,46.94,2024-05-26
PU01342,C413,P88,Jewelry Box,Accessories & Lifestyle,87.92,2024-07-28
PU01343,C133,P87,Umbrella,Accessories & Lifestyle,143.84,2024-04-25
PU01344,C254,P78,Wallet,Accessories & Lifestyle,148.76,2024-07-24
PU01346,C269,P06,Running Shorts,Clothing & Apparel,23.31,2024-02-10
PU01347,C369,P86,Phone Case,Accessories & Lifestyle,133.66,2024-07-09
PU01348,C385,P67,Exercise Bike,Fitness & Sports,36.06,2024-11-12
PU01349,C380,P42,Storage Ottoman,Home & Furniture,340.37,2024-07-28
PU01351,C329,P41,Wardrobe,Home & Furniture,107.1,2024-04-21
PU01353,C470,P38,Recliner Chair,Home & Furniture,375.0,2024-04-22
PU01356,C188,P120,Toy Train Set,Toys & Games,16.71,2024-10-25
PU01357,C385,P13,Raincoat,Clothing & Apparel,56.59,2024-05-13
PU01360,C391,P17,Laptop,Tech & Electronics,493.62,2024-06-27
PU01362,C286,P100,Comic Book,Books & Stationery,24.94,2024-07-25
PU01364,C062,P61,Tennis Racket,Fitness & Sports,135.54,2024-12-02
PU01365,C218,P59,Dish Rack,Kitchen & Appliances,35.56,2024-10-03
PU01366,C460,P79,Sunglasses,Accessories & Lifestyle,137.57,2024-01-02
PU01368,C498,P33,Bookshelf,Home & Furniture,397.55,2024-10-06
PU01369,C045,P37,Coffee Table,Home & Furniture,391.94,2024-05-25
PU01370,C462,P42,Storage Ottoman,Home & Furniture,379.53,2024-11-16
PU01371,C500,P78,Wallet,Accessories & Lifestyle,19.75,2024-01-03
PU01372,C278,P66,Boxing Gloves,Fitness & Sports,258.59,2024-11-04
PU01374,C445,P26,E-Reader,Tech & Electronics,440.96,2024-01-07
PU01375,C476,P49,Electric Kettle,Kitchen & Appliances,202.32,2024-06-14
PU01376,C474,P98,Children's Storybook,Books & Stationery,59.89,2024-10-10
PU01381,C233,P59,Dish Rack,Kitchen & Appliances,98.81,2024-12-22
PU01382,C417,P53,Food Processor,Kitchen & Appliances,100.78,2024-10-14
PU01383,C131,P87,Umbrella,Accessories & Lifestyle,131.09,2024-05-24
PU01384,C144,P21,Bluetooth Speaker,Tech & Electronics,129.1,2024-10-21
PU01385,C172,P49,Electric Kettle,Kitchen & Appliances,242.83,2024-02-15
PU01387,C139,P108,Building Blocks,Toys & Games,5.89,2024-12-24
PU01388,C495,P29,Portable Power Bank,Tech & Electronics,438.09,2024-04-22
PU01389,C469,P09,Swimwear,Clothing & Apparel,94.3,2024-08-15
PU01390,C305,P114,Play Kitchen Set,Toys & Games,30.46,2024-11-26
PU01394,C267,P21,Bluetooth Speaker,Tech & Electronics,290.87,2024-12-05
PU01397,C374,P39,Patio Set,Home & Furniture,422.9,2024-03-23
PU01398,C198,P119,Dollhouse,Toys & Games,91.78,2024-05-30
PU01399,C391,P69,Hiking Boots,Fitness & Sports,99.25,2024-11-19
PU01401,C368,P66,Boxing Gloves,Fitness & Sports,198.52,2024-12-20
PU01402,C360,P19,Smartwatch,Tech & Electronics,387.79,2024-12-25
PU01403,C255,P91,Novel,Books & Stationery,41.2,2024-01-19
PU01404,C119,P100,Comic Book,Books & Stationery,29.81,2024-05-05
PU01405,C029,P79,Sunglasses,Accessories & Lifestyle,112.64,2024-07-08
PU01406,C213,P78,Wallet,Accessories & Lifestyle,57.54,2024-10-08
PU01408,C164,P114,Play Kitchen Set,Toys & Games,66.1,2024-12-12
PU01409,C031,P18,Tablet,Tech & Electronics,425.67,2024-03-07
PU01410,C105,P11,Athletic Socks,Clothing & Apparel,50.28,2024-08-14
PU01411,C111,P27,VR Headset,Tech & Electronics,308.61,2024-11-10
PU01412,C109,P71,Pull-Up Bar,Fitness & Sports,101.5,2024-06-17
PU01413,C218,P108,Building Blocks,Toys & Games,66.23,2024-04-12
PU01414,C131,P110,Stuffed Animal,Toys & Games,95.89,2024-07-18
PU01416,C380,P76,Handbag,Accessories & Lifestyle,18.94,2024-12-24
PU01419,C139,P59,Dish Rack,Kitchen & Appliances,252.86,2024-02-23
PU01420,C467,P42,Storage Ottoman,Home & Furniture,166.36,2024-11-17
PU01422,C163,P100,Comic Book,Books & Stationery,14.32,2024-05-11
PU01423,C334,P08,Polo Shirt,Clothing & Apparel,21.6,2024-11-25
PU01425,C110,P108,Building Blocks,Toys & Games,10.66,2024-09-01
PU01426,C355,P28,Home Security Camera,Tech & Electronics,370.44,2024-01-29
PU01428,C073,P94,Travel Guide,Books & Stationery,24.77,2024-06-18
PU01429,C042,P55,Ice Cream Maker,Kitchen & Appliances,119.69,2024-03-16
PU01430,C429,P108,Building Blocks,Toys & Games,114.5,2024-02-11
PU01433,C037,P05,Casual Sneakers,Clothing & Apparel,104.56,2024-11-22
PU01434,C014,P79,Sunglasses,Accessories & Lifestyle,65.21,2024-02-20
PU01436,C040,P108,Building Blocks,Toys & Games,9.79,2024-02-19
PU01437,C476,P68,Skipping Rope,Fitness & Sports,83.96,2024-10-14
PU01439,C464,P05,Casual Sneakers,Clothing & Apparel,30.03,2024-01-27
PU01440,C148,P50,Cookware Set,Kitchen & Appliances,229.52,2024-09-28
PU01441,C097,P61,Tennis Racket,Fitness & Sports,447.34,2024-03-13
PU01442,C159,P79,Sunglasses,Accessories & Lifestyle,24.87,2024-11-21
PU01443,C280,P15,Summer Dress,Clothing & Apparel,109.24,2024-03-01
PU01444,C080,P42,Storage Ottoman,Home & Furniture,246.76,2024-12-09
PU01445,C079,P49,Electric Kettle,Kitchen & Appliances,267.1,2024-12-03
PU01446,C413,P49,Electric Kettle,Kitchen & Appliances,167.36,2024-02-15
PU01448,C315,P36,Sofa,Home & Furniture,294.16,2024-06-30
PU01449,C155,P23,4K TV,Tech & Electronics,192.37,2024-11-24
PU01451,C360,P76,Handbag,Accessories & Lifestyle,42.17,2024-11-09
PU01452,C423,P17,Laptop,Tech & Electronics,375.65,2024-04-16
PU01455,C133,P50,Cookware Set,Kitchen & Appliances,155.16,2024-02-27
PU01457,C094,P05,Casual Sneakers,Clothing & Apparel,73.59,2024-11-27
PU01459,C445,P120,Toy Train Set,Toys & Games,30.17,2024-03-08
PU01460,C219,P53,Food Processor,Kitchen & Appliances,66.73,2024-12-07
PU01461,C310,P61,Tennis Racket,Fitness & Sports,245.55,2024-09-11
PU01463,C410,P13,Raincoat,Clothing & Apparel,69.59,2024-11-22
PU01464,C230,P76,Handbag,Accessories & Lifestyle,101.53,2024-04-27
PU01467,C033,P76,Handbag,Accessories & Lifestyle,68.68,2024-08-13
PU01468,C395,P91,Novel,Books & Stationery,38.18,2024-03-21
PU01470,C170,P42,Storage Ottoman,Home & Furniture,399.92,2024-05-11
PU01471,C005,P61,Tennis Racket,Fitness & Sports,32.98,2024-02-16
PU01472,C285,P90,Smart Key Finder,Accessories & Lifestyle,13.15,2024-05-05
PU01474,C185,P82,Key Organizer,Accessories & Lifestyle,37.92,2024-04-26
PU01475,C184,P18,Tablet,Tech & Electronics,244.56,2024-06-25
PU01476,C484,P98,Children's Storybook,Books & Stationery,33.05,2024-06-10
PU01477,C100,P15,Summer Dress,Clothing & Apparel,63.88,2024-11-07
PU01479,C424,P87,Umbrella,Accessories & Lifestyle,96.47,2024-12-30
PU01480,C489,P03,Jeans,Clothing & Apparel,27.68,2024-09-13
PU01481,C467,P114,Play Kitchen Set,Toys & Games,24.42,2024-06-12
PU01482,C208,P99,History Book,Books & Stationery,24.8,2024-07-26
PU01483,C055,P68,Skipping Rope,Fitness & Sports,123.52,2024-08-19
PU01485,C216,P17,Laptop,Tech & Electronics,331.34,2024-09-02
PU01487,C498,P15,Summer Dress,Clothing & Apparel,97.12,2024-03-29
PU01488,C360,P120,Toy Train Set,Toys & Games,52.57,2024-06-17
PU01489,C394,P49,Electric Kettle,Kitchen & Appliances,104.64,2024-11-22
PU01491,C129,P83,Luggage Set,Accessories & Lifestyle,107.33,2024-11-17
PU01492,C434,P24,Streaming Stick,Tech & Electronics,216.41,2024-11-11
PU01494,C466,P33,Bookshelf,Home & Furniture,210.08,2024-02-20
PU01496,C041,P93,Science Fiction Book,Books & Stationery,23.34,2024-11-27
PU01499,C300,P49,Electric Kettle,Kitchen & Appliances,376.09,2024-12-26
PU01500,C076,P11,Athletic Socks,Clothing & Apparel,29.59,2024-07-10
PU01501,C480,P86,Phone Case,Accessories & Lifestyle,60.56,2024-01-05
PU01504,C064,P61,Tennis Racket,Fitness & Sports,138.85,2024-02-14
PU01505,C011,P18,Tablet,Tech & Electronics,219.77,2024-06-11
PU01506,C021,P32,Standing Desk,Home & Furniture,202.04,2024-05-25
PU01507,C179,P100,Comic Book,Books & Stationery,22.07,2024-11-25
PU01508,C085,P30,Desktop Computer,Tech & Electronics,489.44,2024-10-28
PU01509,C168,P71,Pull-Up Bar,Fitness & Sports,276.61,2024-12-28
PU01510,C072,P52,Espresso Machine,Kitchen & Appliances,222.26,2024-11-10
PU01511,C299,P102,Self-Help Book,Books & Stationery,40.93,2024-02-28
PU01512,C388,P37,Coffee Table,Home & Furniture,280.18,2024-11-02
PU01514,C058,P30,Desktop Computer,Tech & Electronics,287.5,2024-07-27
PU01515,C382,P120,Toy Train Set,Toys & Games,22.96,2024-11-11
PU01517,C100,P96,Sketchpad,Books & Stationery,37.34,2024-11-16
PU01518,C152,P90,Smart Key Finder,Accessories & Lifestyle,100.21,2024-12-26
PU01519,C444,P80,Leather Belt,Accessories & Lifestyle,101.09,2024-03-10
PU01520,C177,P50,Cookware Set,Kitchen & Appliances,105.72,2024-06-30
PU01521,C204,P83,Luggage Set,Accessories & Lifestyle,86.41,2024-08-11
PU01522,C097,P61,Tennis Racket,Fitness & Sports,401.0,2024-04-25
PU01523,C216,P119,Dollhouse,Toys & Games,14.12,2024-12-16
PU01524,C016,P42,Storage Ottoman,Home & Furniture,467.71,2024-04-09
PU01525,C464,P26,E-Reader,Tech & Electronics,247.35,2024-07-14
PU01527,C175,P68,Skipping Rope,Fitness & Sports,152.17,2024-10-03
PU01528,C095,P18,Tablet,Tech & Electronics,75.55,2024-12-04
PU01529,C475,P104,Art Book,Books & Stationery,17.76,2024-03-11
PU01530,C254,P14,Joggers,Clothing & Apparel,67.21,2024-05-28
PU01531,C276,P18,Tablet,Tech & Electronics,79.69,2024-01-20
PU01532,C099,P96,Sketchpad,Books & Stationery,49.58,2024-03-29
PU01533,C122,P99,History Book,Books & Stationery,36.31,2024-11-27
PU01535,C446,P108,Building Blocks,Toys & Games,13.38,2024-12-28
PU01537,C095,P05,Casual Sneakers,Clothing & Apparel,52.69,2024-11-12
PU01538,C113,P80,Leather Belt,Accessories & Lifestyle,44.22,2024-01-09
PU01539,C197,P44,Bed Frame,Home & Furniture,340.47,2024-06-09
PU01540,C076,P97,Planner,Books & Stationery,49.61,2024-03-29
PU01541,C479,P43,Wall Shelf,Home & Furniture,282.52,2024-07-07
PU01542,C456,P47,Microwave Oven,Kitchen & Appliances,177.27,2024-04-15
PU01543,C073,P90,Smart Key Finder,Accessories & Lifestyle,147.5,2024-10-22
PU01545,C330,P50,Cookware Set,Kitchen & Appliances,69.12,2024-06-24
PU01546,C061,P18,Tablet,Tech & Electronics,92.22,2024-12-20
PU01547,C234,P53,Food Processor,Kitchen & Appliances,59.31,2024-02-23
PU01548,C333,P23,4K TV,Tech & Electronics,188.48,2024-04-28
PU01549,C110,P06,Running Shorts,Clothing & Apparel,102.17,2024-08-04
PU01550,C379,P61,Tennis Racket,Fitness & Sports,53.4,2024-01-05
PU01551,C120,P68,Skipping Rope,Fitness & Sports,92.63,2024-11-27
PU01552,C500,P93,Science Fiction Book,Books & Stationery,47.21,2024-10-30
PU01553,C271,P14,Joggers,Clothing & Apparel,50.16,2024-12-12
PU01554,C203,P25,Digital Camera,Tech & Electronics,202.11,2024-02-18
PU01555,C486,P79,Sunglasses,Accessories & Lifestyle,138.77,2024-04-03
PU01556,C336,P71,Pull-Up Bar,Fitness & Sports,262.65,2024-10-05
PU01557,C498,P36,Sofa,Home & Furniture,162.75,2024-07-29
PU01559,C369,P31,Office Chair,Home & Furniture,186.22,2024-06-29
PU01560,C054,P03,Jeans,Clothing & Apparel,87.48,2024-04-23
PU01562,C466,P86,Phone Case,Accessories & Lifestyle,133.25,2024-08-23
PU01564,C185,P71,Pull-Up Bar,Fitness & Sports,201.96,2024-12-26
PU01567,C474,P32,Standing Desk,Home & Furniture,515.02,2024-06-25
PU01569,C089,P85,Scarf,Accessories & Lifestyle,79.32,2024-11-06
PU01570,C119,P87,Umbrella,Accessories & Lifestyle,10.79,2024-04-03
PU01571,C058,P94,Travel Guide,Books & Stationery,24.48,2024-10-22
PU01572,C461,P55,Ice Cream Maker,Kitchen & Appliances,253.29,2024-03-09
PU01574,C466,P13,Raincoat,Clothing & Apparel,78.63,2024-06-07
PU01575,C048,P52,Espresso Machine,Kitchen & Appliances,263.06,2024-09-16
PU01576,C180,P39,Patio Set,Home & Furniture,819.6,2024-02-27
PU01579,C442,P82,Key Organizer,Accessories & Lifestyle,51.09,2024-09-08
PU01580,C170,P41,Wardrobe,Home & Furniture,102.91,2024-03-27
PU01581,C388,P51,Toaster,Kitchen & Appliances,224.0,2024-12-30
PU01582,C168,P18,Tablet,Tech & Electronics,453.05,2024-01-11
PU01584,C457,P17,Laptop,Tech & Electronics,152.04,2024-03-23
PU01585,C456,P114,Play Kitchen Set,Toys & Games,171.05,2024-09-11
PU01586,C356,P33,Bookshelf,Home & Furniture,499.73,2024-12-25
PU01587,C167,P55,Ice Cream Maker,Kitchen & Appliances,88.04,2024-05-22
PU01589,C056,P55,Ice Cream Maker,Kitchen & Appliances,281.84,2024-06-12
PU01590,C100,P32,Standing Desk,Home & Furniture,121.9,2024-04-23
PU01591,C381,P68,Skipping Rope,Fitness & Sports,199.3,2024-11-17
PU01592,C388,P31,Office Chair,Home & Furniture,67.72,2024-11-13
PU01593,C366,P71,Pull-Up Bar,Fitness & Sports,121.95,2024-05-05
PU01594,C257,P08,Polo Shirt,Clothing & Apparel,102.12,2024-06-15
PU01595,C171,P120,Toy Train Set,Toys & Games,62.36,2024-07-18
PU01596,C421,P93,Science Fiction Book,Books & Stationery,24.5,2024-04-14
PU01599,C018,P96,Sketchpad,Books & Stationery,30.58,2024-03-21
PU01600,C041,P38,Recliner Chair,Home & Furniture,188.32,2024-04-16
PU01602,C060,P25,Digital Camera,Tech & Electronics,370.04,2024-12-17
PU01603,C009,P53,Food Processor,Kitchen & Appliances,221.39,2024-12-23
PU01604,C453,P28,Home Security Camera,Tech & Electronics,260.96,2024-02-04
PU01605,C250,P32,Standing Desk,Home & Furniture,231.22,2024-04-13
PU01607,C023,P98,Children's Storybook,Books & Stationery,42.32,2024-11-15
PU01608,C117,P97,Planner,Books & Stationery,36.76,2024-11-10
PU01609,C117,P84,Watch,Accessories & Lifestyle,58.07,2024-08-05
PU01610,C466,P47,Microwave Oven,Kitchen & Appliances,146.43,2024-01-01
PU01611,C264,P15,Summer Dress,Clothing & Apparel,19.13,2024-11-10
PU01612,C147,P50,Cookware Set,Kitchen & Appliances,66.08,2024-02-20
PU01613,C124,P08,Polo Shirt,Clothing & Apparel,97.2,2024-05-03
PU01615,C142,P110,Stuffed Animal,Toys & Games,99.87,2024-04-15
PU01616,C396,P13,Raincoat,Clothing & Apparel,106.9,2024-10-11
PU01617,C212,P104,Art Book,Books & Stationery,22.45,2024-06-12
PU01618,C233,P108,Building Blocks,Toys & Games,118.16,2024-10-25
PU01619,C328,P27,VR Headset,Tech & Electronics,511.47,2024-12-10
PU01620,C190,P43,Wall Shelf,Home & Furniture,224.24,2024-11-29
PU01621,C037,P54,Rice Cooker,Kitchen & Appliances,92.05,2024-11-18
PU01622,C147,P26,E-Reader,Tech & Electronics,92.96,2024-01-21
PU01623,C344,P110,Stuffed Animal,Toys & Games,5.26,2024-05-29
PU01625,C291,P90,Smart Key Finder,Accessories & Lifestyle,87.74,2024-05-28
PU01626,C470,P21,Bluetooth Speaker,Tech & Electronics,317.52,2024-08-12
PU01627,C437,P100,Comic Book,Books & Stationery,37.59,2024-12-21
PU01628,C095,P03,Jeans,Clothing & Apparel,61.11,2024-11-12
PU01629,C084,P120,Toy Train Set,Toys & Games,51.65,2024-09-22
PU01630,C027,P48,Air Fryer,Kitchen & Appliances,65.86,2024-02-26
PU01631,C360,P67,Exercise Bike,Fitness & Sports,141.89,2024-01-25
PU01632,C109,P120,Toy Train Set,Toys & Games,26.33,2024-11-03
PU01633,C060,P59,Dish Rack,Kitchen & Appliances,271.71,2024-05-21
PU01634,C242,P27,VR Headset,Tech & Electronics,227.76,2024-04-13
PU01635,C010,P30,Desktop Computer,Tech & Electronics,255.05,2024-10-05
PU01636,C322,P51,Toaster,Kitchen & Appliances,107.33,2024-02-14
PU01637,C442,P44,Bed Frame,Home & Furniture,924.06,2024-11-02
PU01639,C496,P44,Bed Frame,Home & Furniture,473.57,2024-11-26
PU01640,C390,P84,Watch,Accessories & Lifestyle,60.11,2024-11-25
PU01642,C099,P67,Exercise Bike,Fitness & Sports,28.35,2024-01-31
PU01643,C497,P55,Ice Cream Maker,Kitchen & Appliances,145.99,2024-08-21
PU01645,C132,P87,Umbrella,Accessories & Lifestyle,127.71,2024-09-24
PU01646,C279,P35,Bedside Table,Home & Furniture,146.15,2024-02-08
PU01647,C328,P114,Play Kitchen Set,Toys & Games,39.61,2024-11-29
PU01648,C187,P26,E-Reader,Tech & Electronics,87.67,2024-06-24
PU01649,C051,P102,Self-Help Book,Books & Stationery,36.71,2024-09-03
PU01650,C474,P44,Bed Frame,Home & Furniture,146.62,2024-10-20
PU01652,C382,P26,E-Reader,Tech & Electronics,209.22,2024-11-21
PU01653,C009,P79,Sunglasses,Accessories & Lifestyle,155.62,2024-08-15
PU01654,C264,P50,Cookware Set,Kitchen & Appliances,254.11,2024-06-30
PU01655,C070,P21,Bluetooth Speaker,Tech & Electronics,213.22,2024-04-18
PU01657,C353,P37,Coffee Table,Home & Furniture,66.14,2024-05-28
PU01658,C027,P05,Casual Sneakers,Clothing & Apparel,90.64,2024-02-01
PU01659,C146,P83,Luggage Set,Accessories & Lifestyle,75.75,2024-12-17
PU01660,C179,P86,Phone Case,Accessories & Lifestyle,101.43,2024-08-12
PU01662,C207,P39,Patio Set,Home & Furniture,303.76,2024-04-13
PU01663,C180,P29,Portable Power Bank,Tech & Electronics,731.67,2024-05-03
PU01664,C448,P83,Luggage Set,Accessories & Lifestyle,94.34,2024-04-30
PU01665,C032,P50,Cookware Set,Kitchen & Appliances,110.6,2024-09-03
PU01666,C139,P31,Office Chair,Home & Furniture,328.35,2024-09-27
PU01667,C158,P114,Play Kitchen Set,Toys & Games,11.62,2024-09-12
PU01668,C420,P52,Espresso Machine,Kitchen & Appliances,37.75,2024-08-12
PU01669,C140,P102,Self-Help Book,Books & Stationery,37.96,2024-03-21
PU01670,C167,P80,Leather Belt,Accessories & Lifestyle,119.52,2024-11-13
PU01671,C446,P91,Novel,Books & Stationery,20.36,2024-06-22
PU01672,C299,P72,Cycling Shorts,Fitness & Sports,170.22,2024-08-20
PU01673,C010,P48,Air Fryer,Kitchen & Appliances,266.46,2024-12-03
PU01676,C163,P15,Summer Dress,Clothing & Apparel,49.52,2024-03-05
PU01677,C221,P49,Electric Kettle,Kitchen & Appliances,211.42,2024-06-04
PU01678,C341,P80,Leather Belt,Accessories & Lifestyle,38.57,2024-09-19
PU01679,C058,P48,Air Fryer,Kitchen & Appliances,201.43,2024-11-20
PU01680,C379,P53,Food Processor,Kitchen & Appliances,372.41,2024-08-26
PU01681,C427,P82,Key Organizer,Accessories & Lifestyle,101.69,2024-02-17
PU01683,C184,P52,Espresso Machine,Kitchen & Appliances,53.03,2024-11-28
PU01684,C152,P102,Self-Help Book,Books & Stationery,27.04,2024-07-28
PU01685,C008,P18,Tablet,Tech & Electronics,306.27,2024-08-20
PU01686,C468,P13,Raincoat,Clothing & Apparel,60.82,2024-10-18
PU01687,C162,P03,Jeans,Clothing & Apparel,81.92,2024-12-05
PU01688,C275,P27,VR Headset,Tech & Electronics,279.49,2024-12-14
PU01690,C062,P72,Cycling Shorts,Fitness & Sports,86.32,2024-11-24
PU01691,C497,P91,Novel,Books & Stationery,44.05,2024-08-15
PU01692,C073,P21,Bluetooth Speaker,Tech & Electronics,384.21,2024-09-04
PU01693,C491,P05,Casual Sneakers,Clothing & Apparel,168.11,2024-08-28
PU01694,C268,P41,Wardrobe,Home & Furniture,152.76,2024-11-23
PU01696,C473,P18,Tablet,Tech & Electronics,253.81,2024-03-19
PU01697,C117,P47,Microwave Oven,Kitchen & Appliances,58.07,2024-05-04
PU01698,C299,P39,Patio Set,Home & Furniture,132.48,2024-11-20
PU01699,C397,P59,Dish Rack,Kitchen & Appliances,251.22,2024-06-12
PU01700,C484,P104,Art Book,Books & Stationery,40.14,2024-12-29
PU01701,C165,P84,Watch,Accessories & Lifestyle,47.24,2024-09-28
